id,documentNumber,manifestDocumentNumber,kind,originalName,title,status,parseError,needsAppendix,itemsCount,measuresCount,parentDocumentNumber,inManifest,classification,createdAt
55,240/91/3526,240/93/159,LETTER,240 93 159.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,6,,true,canonical,2026-06-23T12:50:42.093Z
116,240/91/3526,240/93/284,LETTER,240 93 284.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,11,11,,true,canonical,2026-06-23T12:50:47.187Z
119,240/91/3526,240/93/288,LETTER,240 93 288.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,27,0,,true,canonical,2026-06-23T12:50:47.413Z
166,240/91/3526,240/93/462,LETTER,240 93 462.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,16,,true,canonical,2026-06-23T12:50:51.397Z
235,240/91/3526,240/93/846,LETTER,240 93 846.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,8,,true,canonical,2026-06-23T12:50:58.053Z
23,240/93/1014,240/93/1014,LETTER,240 93 1014.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,10,9,,true,canonical,2026-06-23T12:50:39.479Z
24,240/93/1043,240/93/1043,LETTER,240 93 1043.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,11,0,,true,canonical,2026-06-23T12:50:39.708Z
243,240/93/1043,240/93/1043,APPENDIX,Приложение 1043.docx,,IMPORTED,,false,1,0,240/93/1043,true,canonical,2026-06-23T12:50:58.718Z
25,240/93/1051,240/93/1051,LETTER,240 93 1051.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,5,,true,canonical,2026-06-23T12:50:39.784Z
26,240/93/1060,240/93/1060,LETTER,240 93 1060.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,0,,true,canonical,2026-06-23T12:50:39.844Z
27,240/93/1062,240/93/1062,LETTER,240 93 1062.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,24,0,,true,canonical,2026-06-23T12:50:39.917Z
28,240/93/1083,240/93/1083,LETTER,240 93 1083.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,6,,true,canonical,2026-06-23T12:50:40.045Z
29,240/93/1097,240/93/1097,LETTER,240 93 1097.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,24,0,,true,canonical,2026-06-23T12:50:40.111Z
244,240/93/1097,240/93/1097,APPENDIX,Приложение 1097.docx,,IMPORTED,,false,1,0,240/93/1097,true,canonical,2026-06-23T12:50:58.765Z
30,240/93/1157,240/93/1157,LETTER,240 93 1157.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,13,0,,true,canonical,2026-06-23T12:50:40.231Z
245,240/93/1157,240/93/1157,APPENDIX,Приложение 1157.docx,,IMPORTED,,false,1,0,240/93/1157,true,canonical,2026-06-23T12:50:58.807Z
31,240/93/1163,240/93/1163,LETTER,240 93 1163.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,5,3,,true,canonical,2026-06-23T12:50:40.311Z
32,240/93/1186,240/93/1186,LETTER,240 93 1186.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,0,,true,canonical,2026-06-23T12:50:40.370Z
33,240/93/1189,240/93/1189,LETTER,240 93 1189.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,17,1,,true,canonical,2026-06-23T12:50:40.467Z
246,240/93/1189,240/93/1189,APPENDIX,Приложение 240 93 1189 — копия.docx,,IMPORTED,,false,1,0,240/93/1189,true,canonical,2026-06-23T12:50:58.856Z
34,240/93/1190,240/93/1190,LETTER,240 93 1190.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,7,,true,canonical,2026-06-23T12:50:40.575Z
35,240/93/1191,240/93/1191,LETTER,240 93 1191.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,3,0,,true,canonical,2026-06-23T12:50:40.647Z
36,240/93/1212,240/93/1212,LETTER,240 93 1212.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,14,0,,true,canonical,2026-06-23T12:50:40.699Z
37,240/93/1234,240/93/1234,LETTER,240 93 1234.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,6,,true,canonical,2026-06-23T12:50:40.785Z
38,240/93/1259,240/93/1259,LETTER,240 93 1259.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,2,1,,true,canonical,2026-06-23T12:50:40.845Z
39,240/93/1329,240/93/1329,LETTER,240 93 1329.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,16,0,,true,canonical,2026-06-23T12:50:40.921Z
40,240/93/1350,240/93/1350,LETTER,240 93 1350.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,4,4,,true,canonical,2026-06-23T12:50:41.023Z
41,240/93/1352,240/93/1352,LETTER,240 93 1352.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,18,0,,true,canonical,2026-06-23T12:50:41.080Z
247,240/93/1352,240/93/1352,APPENDIX,Приложение 240 93 1352 — ДЦОД.docx,,IMPORTED,,false,1,0,240/93/1352,true,canonical,2026-06-23T12:50:58.905Z
42,240/93/1372,240/93/1372,LETTER,240 93 1372.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,6,5,,true,canonical,2026-06-23T12:50:41.190Z
43,240/93/1397,240/93/1397,LETTER,240 93 1397.docx,О мерах по повышению защищенности информационной инфраструктуры,IMPORTED,,false,8,6,,true,canonical,2026-06-23T12:50:41.252Z
44,240/93/1409,240/93/1409,LETTER,240 93 1409.docx,О мерах по повышению защищенности информационной инфраструктуры,PARSED,,true,0,0,,true,routing_letter,2026-06-23T12:50:41.319Z
